Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:24.A1,"urn:cite:hmt:vaimg.VA310VN-0812@0.213,0.5826,0.209,0.1644",urn:cite:hmt:msA.310v
urn:cts:greekLit:tlg5026.msA.hmt:24.A2,"urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.0811,0.61,0.0751",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A3,"urn:cite:hmt:vaimg.VA311RN-0481@0.218,0.1411,0.597,0.024",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A4,"urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.1509,0.615,0.1051",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A5,"urn:cite:hmt:vaimg.VA311RN-0481@0.643,0.2523,0.186,0.024",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A6,"urn:cite:hmt:vaimg.VA311RN-0481@0.648,0.2763,0.188,0.0578",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A7,"urn:cite:hmt:vaimg.VA311RN-0481@0.64,0.3326,0.196,0.0848",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A8,"urn:cite:hmt:vaimg.VA311RN-0481@0.201,0.4129,0.63,0.2995",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A9,"urn:cite:hmt:vaimg.VA311RN-0481@0.202,0.6922,0.62,0.0345",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A10,"urn:cite:hmt:vaimg.VA311RN-0481@0.206,0.7102,0.617,0.0616",urn:cite:hmt:msA.311r
urn:cts:greekLit:tlg5026.msA.hmt:24.A11,"urn:cite:hmt:vaimg.VA311RN-0481@0.201,0.7545,0.639,0.0818",urn:cite:hmt:msA.311r
